psraid,state,community,region,registered,oftvote,vote,sex,age,educ,racethn,marital,parent,income,party
50648,41,S,4,1,1,1,1,46,2,1,1,2,2,2
50649,6,R,4,1,1,2,2,39,3,1,1,2,3,1
50650,53,U,4,1,1,1,2,82,5,1,5,2,6,2
50651,6,R,4,1,1,2,1,82,3,1,1,2,6,3
50653,6,S,4,1,1,1,1,55,7,1,1,1,9,2
50656,4,R,4,1,1,2,1,70,4,1,1,2,3,1
50659,32,U,4,1,1,2,1,66,5,1,1,2,10,3
50664,4,U,4,1,1,2,2,74,7,1,3,2,2,1
50669,6,S,4,1,1,2,2,55,6,1,6,2,6,1
50670,6,S,4,1,1,2,2,99,9,1,6,2,10,9
50674,53,S,4,1,2,1,1,65,6,1,4,2,9,2
50675,6,S,4,2, ,1,2,72,6,1, , , ,2
50680,6,U,4,2, ,1,2,28,3,1, , , ,2
50682,6,U,4,1,1,2,2,78,8,1,5,2,4,1
50688,32,S,4,1,5,2,1,45,9,1,1,2,10,3
50690,6,U,4,1,1,1,2,37,5,2,4,1,4,2
50694,6,R,4,2, ,1,1,64,3,1, , , ,3
50701,6,S,4,2, ,2,1,18,2,3, , , ,3
50702,53,S,4,1,5,2,1,32,4,4,1,1,7,3
50704,6,U,4,1,1,2,1,66,6,1,1,1,9,1
50710,6,U,4,1,1,2,1,83,7,1,1,2,9,3
50713,53,S,4,1,1,2,1,90,3,1,1,2,4,3
50717,6,S,4,1,1,2,1,45,6,9,1,1,8,3
50720,4,U,4,1,1,1,2,56,7,1,1,2,7,3
50726,41,R,4,1,1,1,2,85,7,1,5,2,6,3
50727,6,U,4,1,1,2,2,79,3,1,5,1,1,2
50728,6,S,4,1,1,1,2,42,5,3,1,1,6,2
50730,6,U,4,1,1,2,2,80,4,1,5,2,10,1
50736,6,S,4,1,1,1,1,85,7,1,1,2,10,2
50737,6,U,4,1,1,2,2,72,4,1,1,2,2,1
50741,32,U,4,1,2,1,1,79,8,1,1,2,7,2
50742,32,U,4,2, ,2,2,56,5,1, , , ,1
50744,53,U,4,1,1,1,2,70,4,1,5,2,3,2
50746,41,U,4,1,2,1,2,44,4,1,1,1,7,2
50748,6,U,4,2, ,1,1,42,8,1, , , ,3
50752,6,S,4,1,4,3,1,36,4,1,1,1,10,3
50756,6,S,4,2, ,9,2,71,4,1, , , ,4
50762,53,U,4,1,1,2,1,37,5,1,1,1,8,3
75042,45,R,3,1,1,1,1,70,7,9,1,2,6,2
75055,39,S,2,1,1,2,1,64,6,1,1,2,9,1
75057,24,U,1,1,1,3,2,26,8,1,6,2,2,3
75058,13,U,3,1,1,1,1,42,4,2,1,1,5,2
75059,37,U,3,1,2,1,2,30,7,4,6,2,2,3
75062,26,S,2,1,1,1,1,23,3,2,6,2,6,3
75065,18,S,2,1,2,2,2,60,3,1,1,2,10,1
